@id,name,highway,maxspeed
233737130,Jirón Jamaica,residential,
233737131,,residential,
233737132,Jirón Santa,residential,
233737133,,residential,
233737134,Jirón Washington,residential,
233737135,Avenida Argentina,residential,
233737136,Jirón Joular,residential,
233737137,Jirón Retamas,residential,
233737139,Jirón Maximo Gorky,residential,
233737142,Pasaje San Camilo,residential,
233737143,Jirón Ecuador,residential,
233737144,Jirón Barbados,residential,
233737145,Jirón Islay,residential,
233737146,Jirón Energía Nuclear,residential,
233737148,Jirón Los Keñuales,residential,
233737149,,residential,
233737151,Jirón Santa Catalina,residential,
233737152,,residential,
233737153,,residential,
233737155,Jirón Naturaleza,residential,
