latitude,longitude,altitude,geometry,coordinates,@id,area,highway,bridge,bridge:name,ele,layer,maxweight,ref,source,name,oneway,surface,lane_markings,maxspeed,lanes,bicycle,foot,junction,source:geometry,alt_name,service,name:en,name:qu,access,incline,fixme,covered,lit,horse,construction,footway,crossing,tracktype,motorcar,embankment
,,,LineString,"-70.1379079,-15.4870075,-70.1378125,-15.4864625,-70.1376419,-15.4854764,-70.1376455,-15.4853707,-70.1377235,-15.4840437,-70.137759,-15.4832488,-70.1378688,-15.4818072",way/606174709,,tertiary,,,,,,,,Avenida Normal,,paved,,40,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1362062,-15.4815719,-70.1361997,-15.4816728,-70.136105,-15.4831376,-70.135995,-15.4845242,-70.1359255,-15.4854078,-70.1359174,-15.485525,-70.1358469,-15.4865342,-70.1358157,-15.4868925,-70.1357823,-15.4873932,-70.1357852,-15.4874786,-70.1357198,-15.4875777",way/606174711,,primary,,,,,,,,Avenida Jorge Chavez,yes,concrete,,60,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1361186,-15.4815578,-70.135852,-15.4815149,-70.1358021,-15.4815074",way/606174712,,trunk,,,,,,,,Avenida Circunvalación Norte,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1367514,-15.4961684,-70.1363542,-15.4963196",way/606175428,,steps,,,,,,,,Jirón Selva Alegre,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1415293,-15.4460145,-70.1413949,-15.445321,-70.1410924,-15.4442292,-70.1409486,-15.443646,-70.1406589,-15.4424655,-70.1400969,-15.4402333,-70.1399686,-15.4397433,-70.1397389,-15.4388663,-70.1396991,-15.4386497,-70.1396844,-15.4384517,-70.1396951,-15.4382413,-70.1397148,-15.4381075,-70.1397429,-15.4379924,-70.1398278,-15.4377442",way/606503179,,trunk,,,,,,PE-3S,,Avenida Independencia,no,asphalt,,60,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.149528,-15.4954929,-70.1490959,-15.4964411,-70.1487066,-15.4972664,-70.148498,-15.4977249,-70.1483067,-15.498142",way/607825256,,residential,,,,,,,,Jirón Paco Yunque,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1500794,-15.4968405,-70.1495662,-15.4966321,-70.1490959,-15.4964411,-70.1486374,-15.496255,-70.1479731,-15.4959625",way/607825257,,residential,,,,,,,,Jirón Tupac Amaru,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1500794,-15.4968405,-70.1497049,-15.4976611,-70.1494808,-15.4981776,-70.1493147,-15.4985606,-70.1490919,-15.4990449",way/607825258,,residential,,,,,,,,Jirón 8 De Enero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1509626,-15.4960908,-70.1513438,-15.495252,-70.1515757,-15.4947431",way/607825259,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1476973,-15.5001614,-70.1473689,-15.500198,-70.1465709,-15.5002272,-70.1459411,-15.500254",way/607825261,,residential,,,,,,,,Jirón 7 De Enero,,,,,,,,,,,,,,,,,,,,,,,,,
