id,nombre,latitud,longitud,riesgo,tipo
9189,Jr. 13 de Junio #6,-15.4595952,-70.1549833,35,interseccion
9190,Jr. 13 de Junio #7,-15.4605611,-70.1548542,35,interseccion
9191,Jr. 13 de Junio #8,-15.460606,-70.1548357,35,interseccion
9192,Jr. Zela ∩ ,-15.4536826,-70.156388,35,interseccion
9193,Jr. Zela ∩ ,-15.4542264,-70.1563166,35,interseccion
9194,Jr. Zela ∩ Jr. Uno,-15.4546803,-70.156257,35,interseccion
9195,Jr. Zela ∩ Jr. Pacasmayo,-15.4556734,-70.1561128,35,interseccion
9196,Jr. Zela ∩ Jr. San Anronio de Padua,-15.4569541,-70.155913,35,interseccion
9197,Jr. Zela ∩ Jr. Ayrton Senna,-15.4582021,-70.1557269,35,interseccion
9198,Jr. Zela #7,-15.4617878,-70.1551667,35,interseccion
9199, #3009,-15.4606873,-70.1586853,35,interseccion
9200,Jr. Ayrton Senna #4,-15.4590003,-70.1610896,35,interseccion
9201, ∩ Jr. Ayrton Senna,-15.4585972,-70.1585329,35,interseccion
9202, ∩ Jr. San Anronio de Padua,-15.457337,-70.1587155,35,interseccion
9203, #3012,-15.4567399,-70.158802,35,interseccion
9204, #3013,-15.4588632,-70.1579652,45,interseccion
9205, ∩ Jr. Ayrton Senna,-15.4585695,-70.1580005,45,interseccion
9206, ∩ Jr. San Anronio de Padua,-15.457272,-70.1582025,45,interseccion
9207, #3016,-15.4553804,-70.1584799,45,interseccion
9208, ∩ Jr. Ayrton Senna,-15.4584781,-70.1575834,45,interseccion
9209, ∩ Jr. San Anronio de Padua,-15.4571941,-70.1577537,45,interseccion
9210,Jr. San Anronio de Padua #2,-15.4574812,-70.1596136,35,interseccion
9211, ∩ Jr. San Anronio de Padua,-15.4571337,-70.1573355,35,interseccion
9212,Jr. San Anronio de Padua ∩ Jr. Universal,-15.4570949,-70.1568569,35,interseccion
9213,Jr. San Anronio de Padua ∩ Jr. Camargo,-15.4570103,-70.1563881,35,interseccion
9214,Jr. San Anronio de Padua ∩ Jr. 13 de Junio,-15.4568902,-70.1554247,35,interseccion
9215,Jr. San Anronio de Padua ∩ Calle Chaska,-15.4567284,-70.1544574,35,interseccion
9216,Jr. San Anronio de Padua ∩ Calle Runa,-15.4566641,-70.1539685,35,interseccion
9217,Calle Inti ∩ Jr. San Anronio de Padua,-15.4565895,-70.1534896,35,interseccion
9218,Jr. San Anronio de Padua ∩ Calle Urpi,-15.4565206,-70.1530088,35,interseccion
9219,Calle Quilla ∩ Jr. San Anronio de Padua,-15.4564487,-70.152534,35,interseccion
9220,Jr. San Anronio de Padua #12,-15.4563213,-70.1518858,35,interseccion
9221,Jr. San Anronio de Padua ∩ Jr. Antony Perkins,-15.4562239,-70.1512155,35,interseccion
9222,Jr. San Anronio de Padua ∩ Jr. 23 de Septiembre,-15.4559734,-70.1495058,35,interseccion
9223, #3018,-15.4519799,-70.1457238,35,interseccion
9224, #3019,-15.4501349,-70.1460327,35,interseccion
9225, #3020,-15.4491488,-70.1462086,35,interseccion
9226, #3021,-15.4479751,-70.1463748,35,interseccion
9227, #3022,-15.44692,-70.1465642,35,interseccion
9228, #3023,-15.4466443,-70.1465953,35,interseccion
9229, #3024,-15.4464013,-70.1466198,35,interseccion
9230, #3025,-15.4459512,-70.1466321,35,interseccion
9231, #3026,-15.4504049,-70.1475407,35,interseccion
9232, #3027,-15.4503669,-70.1473978,35,interseccion
9233, #3028,-15.4503479,-70.1473434,35,interseccion
9234, #3029,-15.4503356,-70.1473007,35,interseccion
9235, #3030,-15.4502785,-70.1469888,35,interseccion
9236, #3031,-15.450069,-70.1455514,35,interseccion
9237, #3032,-15.4500016,-70.145078,35,interseccion
9238, #3033,-15.4507921,-70.1469002,35,interseccion
9239, #3034,-15.4493034,-70.1471329,35,interseccion
9240, #3035,-15.4505886,-70.1454546,35,interseccion
9241, #3036,-15.4490626,-70.1457075,35,interseccion
9242, #3037,-15.4478764,-70.14591,35,interseccion
9243, #3038,-15.4511223,-70.1448839,35,interseccion
9244, #3039,-15.4505217,-70.1449815,35,interseccion
9245, #3040,-15.4494032,-70.1451706,35,interseccion
9246, #3041,-15.4490084,-70.1452246,35,interseccion
9247, #3042,-15.4488064,-70.145262,35,interseccion
9248, #3043,-15.448339,-70.145337,35,interseccion
9249, #3044,-15.4477656,-70.1454416,35,interseccion
9250, #3045,-15.4493611,-70.1475473,35,interseccion
9251, #3046,-15.4494201,-70.14808,35,interseccion
9252, ∩ Av. Rodolfo Diesel,-15.4493828,-70.1490981,35,interseccion
9253, ∩ Jr. Antony Perkins,-15.4493325,-70.1504857,35,interseccion
9254, #3049,-15.4492081,-70.1513469,35,interseccion
9255, ∩ Av. Rumi,-15.449154,-70.1515953,35,interseccion
9256, ∩ Calle Urpi,-15.448989,-70.1523873,35,interseccion
